"viry chatillon",Viry-Châtillon,91170,30241
vitre,Vitré,35500,15324
vitrolles,Vitrolles,13127,36739
"vitry le francois",Vitry-le-François,51300,16725
"vitry sur seine",Vitry-sur-Seine,94400,78908
voiron,Voiron,38500,19799
wasquehal,Wasquehal,59290,18530
wattrelos,Wattrelos,59150,42719
wittenheim,Wittenheim,68270,15022
yerres,Yerres,91330,27439
10,118
annemasse,Annemasse,74100,27238
anneot,Annéot,89200,102
annepont,Annepont,17350,267
annequin,Annequin,62149,2158
"annesse et beaulieu",Annesse-et-Beaulieu,24430,1250
"annet sur marne",Annet-sur-Marne,77410,2482
anneux,Anneux,59400,226
"anneville ambourville",Anneville-Ambourville,76480,946
"anneville en saire",Anneville-en-Saire,50760,324
"anneville la prairie",Annéville-la-Prairie,52310,84
"anneville sur mer",Anneville-sur-Mer,50560,191
"anneville sur scie",Anneville-sur-Scie,76590,405
anneyron,Anneyron,26140,3316
annezay,Annezay,17380,175
annezin,Annezin,62232,5553
annoeullin,Annœullin,59112,9714
annoire,Annoire,39120,411
annois,Annois,02480,382
"annoisin chatelans",Annoisin-Chatelans,38460,541
annoix,Annoix,18340,263
annonay,Annonay,07100,17517
annonville,Annonville,52230,34
annot,Annot,04240,990
"annouville vilmesnil",Annouville-Vilmesnil,76110,384
annoux,Annoux,89440,82
annoville,Annoville,50660,547
anor,Anor,59186,3091
anos,Anos,64160,149
anost,Anost,71550,678
anould,Anould,88650,2992
anoux,Anoux,54150,287
anoye,Anoye,64350,140
anquetierville,Anquetierville,76490,336
anrosey,Anrosey,52500,141
"ansac sur vienne",Ansac-sur-Vienne,16500,852
ansacq,Ansacq,60250,263
ansan,Ansan,32270,63
ansauville,Ansauville,54470,79
ansauvillers,Ansauvillers,60120,1048
anse,Anse,69480,4742
"anse bertrand",Anse-Bertrand,97121,5027
anserville,Anserville,60540,435
ansignan,Ansignan,66220,198
ansost,Ansost,65140,62
ansouis,Ansouis,84240,1036
anstaing,Anstaing,59152,1180
antagnac,Antagnac,47700,333
anterrieux,Anterrieux,15110,131
anteuil,Anteuil,25340,481
"antezant la chapelle",Antezant-la-Chapelle,17400,339
anthe,Anthé,47370,208
anthelupt,Anthelupt,54110,427
anthenay,Anthenay,51700,52
antheny,Antheny,08260,108
antheuil,Antheuil,21360,65
"antheuil portes",Antheuil-Portes,60162,417
anthien,Anthien,58800,168
anthon,Anthon,38280,920
"anthy sur leman",Anthy-sur-Léman,74200,1765
antibes,Antibes,06600-06160,72454
antichan,Antichan,65370,27
"antichan de frontignes",Antichan-de-Frontignes,31510,84
antignac,Antignac,31110,104
antigny,Antigny,86310,598
"antigny la ville",Antigny-la-Ville,21230,105
antilly,Antilly,60620,313
antin,Antin,65220,135
antisanti,Antisanti,20270,418
antist,Antist,65200,106
"antogny le tillac",Antogny-le-Tillac,37800,447
antoigne,Antoigné,49260,414
antoigny,Antoigny,61410,118
antoingt,Antoingt,63340,335
antonaves,Antonaves,05300,160
"antonne et trigonant",Antonne-et-Trigonant,24420,1080
antony,Antony,92160,59849
"antraigues sur volane",Antraigues-sur-Volane,07530,498
antrain,Antrain,35560,1388
antran,Antran,86100,1061
antras,Antras,32360,58
antrenas,Antrenas,48100,303
antugnac,Antugnac,11190,266
antully,Antully,71400,861
anveville,Anvéville,76560,248
anville,Anville,16170,156
anvin,Anvin,62134,741
"any martin rieux",Any-Martin-Rieux,02500,504
"anzat le luguet",Anzat-le-Luguet,63420,241
anzeling,Anzeling,57320,379
anzeme,Anzême,23000,536
anzex,Anzex,47700,254
anzin,Anzin,59410,14058
"anzin saint aubin",Anzin-Saint-Aubin,62223,2472
